system,sample,sample_start,criterion,det_order,deterministic,var_lag_order_levels,k_ar_diff,trace_rank_95pct,maxeig_rank_95pct,chosen_rank_95pct,cointegration_supported_rank1,rank_note
weighted,baseline_2010_08,2010-08-01,AIC,-1,none,11,10,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
weighted,baseline_2010_08,2010-08-01,AIC,0,constant,11,10,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
weighted,baseline_2010_08,2010-08-01,AIC,1,linear_trend,11,10,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
weighted,baseline_2010_08,2010-08-01,BIC,-1,none,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
weighted,baseline_2010_08,2010-08-01,BIC,0,constant,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
weighted,baseline_2010_08,2010-08-01,BIC,1,linear_trend,2,1,2,0,0,False,Trace rank 2 and max-eigenvalue rank 0 differ; conservative chosen rank 0.
weighted,baseline_2010_08,2010-08-01,HQIC,-1,none,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
weighted,baseline_2010_08,2010-08-01,HQIC,0,constant,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
weighted,baseline_2010_08,2010-08-01,HQIC,1,linear_trend,2,1,2,0,0,False,Trace rank 2 and max-eigenvalue rank 0 differ; conservative chosen rank 0.
weighted,baseline_2010_08,2010-08-01,FPE,-1,none,11,10,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
weighted,baseline_2010_08,2010-08-01,FPE,0,constant,11,10,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
weighted,baseline_2010_08,2010-08-01,FPE,1,linear_trend,11,10,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
frontier,baseline_2010_08,2010-08-01,AIC,-1,none,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
frontier,baseline_2010_08,2010-08-01,AIC,0,constant,2,1,2,2,2,False,Trace and max-eigenvalue agree on rank 2.
frontier,baseline_2010_08,2010-08-01,AIC,1,linear_trend,2,1,2,2,2,False,Trace and max-eigenvalue agree on rank 2.
frontier,baseline_2010_08,2010-08-01,BIC,-1,none,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
frontier,baseline_2010_08,2010-08-01,BIC,0,constant,2,1,2,2,2,False,Trace and max-eigenvalue agree on rank 2.
frontier,baseline_2010_08,2010-08-01,BIC,1,linear_trend,2,1,2,2,2,False,Trace and max-eigenvalue agree on rank 2.
frontier,baseline_2010_08,2010-08-01,HQIC,-1,none,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
frontier,baseline_2010_08,2010-08-01,HQIC,0,constant,2,1,2,2,2,False,Trace and max-eigenvalue agree on rank 2.
frontier,baseline_2010_08,2010-08-01,HQIC,1,linear_trend,2,1,2,2,2,False,Trace and max-eigenvalue agree on rank 2.
frontier,baseline_2010_08,2010-08-01,FPE,-1,none,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
frontier,baseline_2010_08,2010-08-01,FPE,0,constant,2,1,2,2,2,False,Trace and max-eigenvalue agree on rank 2.
frontier,baseline_2010_08,2010-08-01,FPE,1,linear_trend,2,1,2,2,2,False,Trace and max-eigenvalue agree on rank 2.
weighted,asic_robustness_2014_01,2014-01-01,AIC,-1,none,2,1,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
weighted,asic_robustness_2014_01,2014-01-01,AIC,0,constant,2,1,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
weighted,asic_robustness_2014_01,2014-01-01,AIC,1,linear_trend,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
weighted,asic_robustness_2014_01,2014-01-01,BIC,-1,none,2,1,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
weighted,asic_robustness_2014_01,2014-01-01,BIC,0,constant,2,1,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
weighted,asic_robustness_2014_01,2014-01-01,BIC,1,linear_trend,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
weighted,asic_robustness_2014_01,2014-01-01,HQIC,-1,none,2,1,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
weighted,asic_robustness_2014_01,2014-01-01,HQIC,0,constant,2,1,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
weighted,asic_robustness_2014_01,2014-01-01,HQIC,1,linear_trend,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
weighted,asic_robustness_2014_01,2014-01-01,FPE,-1,none,2,1,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
weighted,asic_robustness_2014_01,2014-01-01,FPE,0,constant,2,1,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
weighted,asic_robustness_2014_01,2014-01-01,FPE,1,linear_trend,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
frontier,asic_robustness_2014_01,2014-01-01,AIC,-1,none,2,1,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
frontier,asic_robustness_2014_01,2014-01-01,AIC,0,constant,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
frontier,asic_robustness_2014_01,2014-01-01,AIC,1,linear_trend,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
frontier,asic_robustness_2014_01,2014-01-01,BIC,-1,none,2,1,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
frontier,asic_robustness_2014_01,2014-01-01,BIC,0,constant,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
frontier,asic_robustness_2014_01,2014-01-01,BIC,1,linear_trend,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
frontier,asic_robustness_2014_01,2014-01-01,HQIC,-1,none,2,1,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
frontier,asic_robustness_2014_01,2014-01-01,HQIC,0,constant,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
frontier,asic_robustness_2014_01,2014-01-01,HQIC,1,linear_trend,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
frontier,asic_robustness_2014_01,2014-01-01,FPE,-1,none,2,1,0,0,0,False,Trace and max-eigenvalue both fail to support cointegration.
frontier,asic_robustness_2014_01,2014-01-01,FPE,0,constant,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
frontier,asic_robustness_2014_01,2014-01-01,FPE,1,linear_trend,2,1,1,1,1,True,Trace and max-eigenvalue both support one cointegrating relation.
