sample_start,sample_end,variable,label,transformation,test,break_specification,statistic,p_value,lags_used,break_index,break_month,critical_1pct,critical_5pct,critical_10pct,reject_unit_root_at_5pct,nobs
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,level,Zivot-Andrews,c,-5.346658555116715,0.007484003027221281,7,29,2013-01-01,-5.27644,-4.81067,-4.56618,True,185
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,level,Zivot-Andrews,t,-4.755898708578194,0.02104789840772513,7,87,2017-11-01,-5.03421,-4.4058,-4.13678,True,185
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,level,Zivot-Andrews,ct,-5.2233502416192366,0.03323459663650583,7,29,2013-01-01,-5.57556,-5.07332,-4.82668,True,185
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,Zivot-Andrews,c,-4.35466334691899,0.16920985254611678,6,38,2013-11-01,-5.27644,-4.81067,-4.56618,False,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,Zivot-Andrews,t,-4.054915770163873,0.12064567483005315,6,48,2014-09-01,-5.03421,-4.4058,-4.13678,False,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,Zivot-Andrews,ct,-4.237604825823089,0.350204718066552,6,40,2014-01-01,-5.57556,-5.07332,-4.82668,False,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,Zivot-Andrews,c,-4.238101660770599,0.21985030118302318,10,32,2013-04-01,-5.27644,-4.81067,-4.56618,False,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,Zivot-Andrews,t,-5.287870331593019,0.005819638532287507,10,40,2013-12-01,-5.03421,-4.4058,-4.13678,True,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,Zivot-Andrews,ct,-5.715860480595047,0.006230943637362839,10,67,2016-03-01,-5.57556,-5.07332,-4.82668,True,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,Zivot-Andrews,c,-4.922134450344136,0.03748883734295607,9,49,2014-10-01,-5.27644,-4.81067,-4.56618,True,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,Zivot-Andrews,t,-3.7547147391748577,0.22417604650661843,9,78,2017-03-01,-5.03421,-4.4058,-4.13678,False,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,Zivot-Andrews,ct,-5.496343809562308,0.014266274797376773,9,46,2014-07-01,-5.57556,-5.07332,-4.82668,True,184
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,Zivot-Andrews,c,-5.126069711835594,0.01928058888440623,0,33,2013-05-01,-5.27644,-4.81067,-4.56618,True,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,Zivot-Andrews,t,-3.276811779999591,0.4854968236450876,0,46,2014-06-01,-5.03421,-4.4058,-4.13678,False,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,Zivot-Andrews,ct,-5.073356634771026,0.049995906180602255,0,34,2013-06-01,-5.57556,-5.07332,-4.82668,True,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",first_difference,Zivot-Andrews,c,-15.16210706360742,1e-05,0,45,2014-06-01,-5.27644,-4.81067,-4.56618,True,184
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",first_difference,Zivot-Andrews,t,-14.921554928358088,0.0009853271530441752,0,27,2012-12-01,-5.03421,-4.4058,-4.13678,True,184
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",first_difference,Zivot-Andrews,ct,-15.577546389602356,0.000714775204225847,0,30,2013-03-01,-5.57556,-5.07332,-4.82668,True,184
