specification,system,sample,equation,lag,lagged_difference,coefficient,std_err,z_stat,p_value,significant_5pct
frontier_asic_constant_main,frontier,asic_robustness_2014_01,delta_log_bitcoin_market_price_usd,1,delta_log_bitcoin_market_price_usd,0.45966649116853847,0.0781238325787934,5.883819008814402,4.009062415377684e-09,True
frontier_asic_constant_main,frontier,asic_robustness_2014_01,delta_log_bitcoin_market_price_usd,1,delta_log_mci_frontier,0.09210327809458674,0.07009403159284662,1.3139960136632554,0.188847545726043,False
frontier_asic_constant_main,frontier,asic_robustness_2014_01,delta_log_mci_frontier,1,delta_log_bitcoin_market_price_usd,0.07070683395747378,0.08234553602415225,0.8586601942421652,0.3905280177656607,False
frontier_asic_constant_main,frontier,asic_robustness_2014_01,delta_log_mci_frontier,1,delta_log_mci_frontier,0.020141839663477667,0.07388181574150778,0.27262242354666055,0.7851434731542613,False
weighted_baseline_parsimonious_constant,weighted,baseline_2010_08,delta_log_bitcoin_market_price_usd,1,delta_log_bitcoin_market_price_usd,0.3646364859653457,0.0691943598212477,5.269742893890837,1.366149808834649e-07,True
weighted_baseline_parsimonious_constant,weighted,baseline_2010_08,delta_log_bitcoin_market_price_usd,1,delta_log_mci_weighted,-0.01227523873817784,0.052380877645400635,-0.23434580117722947,0.8147165314900056,False
weighted_baseline_parsimonious_constant,weighted,baseline_2010_08,delta_log_mci_weighted,1,delta_log_bitcoin_market_price_usd,0.3082053899544698,0.0921155653949445,3.345855704549415,0.0008202907121999115,True
weighted_baseline_parsimonious_constant,weighted,baseline_2010_08,delta_log_mci_weighted,1,delta_log_mci_weighted,0.1352791123708996,0.06973247780099893,1.9399728309806552,0.052382991828025194,False
frontier_baseline_none_sensitivity,frontier,baseline_2010_08,delta_log_bitcoin_market_price_usd,1,delta_log_bitcoin_market_price_usd,0.38439994079223744,0.06450053578209276,5.95963949959867,2.527949849451261e-09,True
frontier_baseline_none_sensitivity,frontier,baseline_2010_08,delta_log_bitcoin_market_price_usd,1,delta_log_mci_frontier,0.06059535104122746,0.05249653518754851,1.1542733406070556,0.2483881226932243,False
frontier_baseline_none_sensitivity,frontier,baseline_2010_08,delta_log_mci_frontier,1,delta_log_bitcoin_market_price_usd,0.08593121859567077,0.08723177804859167,0.9850907607065348,0.3245794912953279,False
frontier_baseline_none_sensitivity,frontier,baseline_2010_08,delta_log_mci_frontier,1,delta_log_mci_frontier,-0.04396756911824034,0.07099733436744071,-0.6192847873793387,0.5357287643598139,False
weighted_asic_linear_trend_sensitivity,weighted,asic_robustness_2014_01,delta_log_bitcoin_market_price_usd,1,delta_log_bitcoin_market_price_usd,0.4237993052819945,0.07487280288706083,5.660256981714165,1.5114648643788087e-08,True
weighted_asic_linear_trend_sensitivity,weighted,asic_robustness_2014_01,delta_log_bitcoin_market_price_usd,1,delta_log_mci_weighted,-0.03247518954404051,0.03958643073481756,-0.8203616476965557,0.4120099722574353,False
weighted_asic_linear_trend_sensitivity,weighted,asic_robustness_2014_01,delta_log_mci_weighted,1,delta_log_bitcoin_market_price_usd,0.09427463730633606,0.15603074194771668,0.6042055310992877,0.5457070040574885,False
weighted_asic_linear_trend_sensitivity,weighted,asic_robustness_2014_01,delta_log_mci_weighted,1,delta_log_mci_weighted,-0.025249508100929467,0.08249591200602573,-0.30606980984809495,0.7595514938134496,False
